pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
15742478,6,File:Awans-Tumulus van Othée (3).JPG,9,"[{'lat': 50.72294722, 'lon': 5.46117778, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG/320px-Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG/480px-Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG/640px-Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/0/00/Awans-Tumulus_van_Oth%C3%A9e_%283%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Awans-Tumulus_van_Oth%C3%A9e_(3).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=15742478'}]",,,,,50.716847144862456,5.518089113176313,5000
15742592,6,File:Ans-Tumulus van Xhendremael (1).JPG,10,"[{'lat': 50.69872222, 'lon': 5.48061944, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ans-Tumulus_van_Xhendremael_%281%29.JPG/320px-Ans-Tumulus_van_Xhendremael_%281%29.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ans-Tumulus_van_Xhendremael_%281%29.JPG/480px-Ans-Tumulus_van_Xhendremael_%281%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Ans-Tumulus_van_Xhendremael_%281%29.JPG/640px-Ans-Tumulus_van_Xhendremael_%281%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/e/e3/Ans-Tumulus_van_Xhendremael_%281%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ans-Tumulus_van_Xhendremael_(1).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=15742592'}]",,,,,50.716847144862456,5.518089113176313,5000
15742595,6,File:Ans-Tumulus van Xhendremael (2).JPG,11,"[{'lat': 50.69872222, 'lon': 5.48061944, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ans-Tumulus_van_Xhendremael_%282%29.JPG/320px-Ans-Tumulus_van_Xhendremael_%282%29.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ans-Tumulus_van_Xhendremael_%282%29.JPG/480px-Ans-Tumulus_van_Xhendremael_%282%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Ans-Tumulus_van_Xhendremael_%282%29.JPG/640px-Ans-Tumulus_van_Xhendremael_%282%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/8/8b/Ans-Tumulus_van_Xhendremael_%282%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ans-Tumulus_van_Xhendremael_(2).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=15742595'}]",,,,,50.716847144862456,5.518089113176313,5000
15742596,6,File:Ans-Tumulus van Xhendremael (3).JPG,12,"[{'lat': 50.69715833, 'lon': 5.47864444, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ans-Tumulus_van_Xhendremael_%283%29.JPG/320px-Ans-Tumulus_van_Xhendremael_%283%29.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ans-Tumulus_van_Xhendremael_%283%29.JPG/480px-Ans-Tumulus_van_Xhendremael_%283%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Ans-Tumulus_van_Xhendremael_%283%29.JPG/640px-Ans-Tumulus_van_Xhendremael_%283%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/1/10/Ans-Tumulus_van_Xhendremael_%283%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ans-Tumulus_van_Xhendremael_(3).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=15742596'}]",,,,,50.716847144862456,5.518089113176313,5000
16817199,6,File:Toren Glons.jpg,13,"[{'lat': 50.751198, 'lon': 5.546482, 'primary': False}]",,,,,,,50.716847144862456,5.518089113176313,5000
16817201,6,File:Toren voormalige kerk St Victor Glons.jpg,14,"[{'lat': 50.751198, 'lon': 5.546482, 'primary': False}]",,,,,,,50.716847144862456,5.518089113176313,5000
18200562,6,"File:Glons, kerk foto9 2011-03-25 16.05.JPG",15,"[{'lat': 50.75138889, 'lon': 5.54638889, 'primary': False}]",,,,,,,50.716847144862456,5.518089113176313,5000
19287195,6,File:20120424 othee14.JPG,16,"[{'lat': 50.70770019, 'lon': 5.47099292, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/20120424_othee14.JPG/320px-20120424_othee14.JPG', 'thumbwidth': 320, 'thumbheight': 223, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/20120424_othee14.JPG/480px-20120424_othee14.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/20120424_othee14.JPG/640px-20120424_othee14.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/5/53/20120424_othee14.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:20120424_othee14.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=19287195'}]",,,,,50.716847144862456,5.518089113176313,5000
19287197,6,File:20120424 Xhendremael16.jpg,17,"[{'lat': 50.704714, 'lon': 5.473187, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/20120424_Xhendremael16.jpg/320px-20120424_Xhendremael16.jpg', 'thumbwidth': 320, 'thumbheight': 478, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/20120424_Xhendremael16.jpg/480px-20120424_Xhendremael16.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/20120424_Xhendremael16.jpg/640px-20120424_Xhendremael16.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/e/e8/20120424_Xhendremael16.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:20120424_Xhendremael16.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=19287197'}]",,,,,50.716847144862456,5.518089113176313,5000
28080944,6,File:Chateau Waroux.jpg,18,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': False, 'bearing': 262}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chateau_Waroux.jpg/320px-Chateau_Waroux.jpg', 'thumbwidth': 320, 'thumbheight': 230, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chateau_Waroux.jpg/480px-Chateau_Waroux.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chateau_Waroux.jpg/640px-Chateau_Waroux.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Chateau_Waroux.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Chateau_Waroux.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=28080944'}]",,,,,50.716847144862456,5.518089113176313,5000
