pageid,ns,title,index,coordinates,imagerepository,imageinfo,query_lat,query_lon,radius
6346951,6,File:Genoelselderen - Kasteelhoeve.jpg,15,"[{'lat': 50.80527778, 'lon': 5.5375, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Genoelselderen_-_Kasteelhoeve.jpg/320px-Genoelselderen_-_Kasteelhoeve.jpg', 'thumbwidth': 320, 'thumbheight': 214, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Genoelselderen_-_Kasteelhoeve.jpg/480px-Genoelselderen_-_Kasteelhoeve.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Genoelselderen_-_Kasteelhoeve.jpg/640px-Genoelselderen_-_Kasteelhoeve.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/9/91/Genoelselderen_-_Kasteelhoeve.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Kasteelhoeve.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6346951'}]",50.780411024272375,5.518021278359958,5000
6346953,6,File:Genoelselderen - Kasteelhoeve2.jpg,16,"[{'lat': 50.80527778, 'lon': 5.5375, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Genoelselderen_-_Kasteelhoeve2.jpg/320px-Genoelselderen_-_Kasteelhoeve2.jpg', 'thumbwidth': 320, 'thumbheight': 214, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Genoelselderen_-_Kasteelhoeve2.jpg/480px-Genoelselderen_-_Kasteelhoeve2.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Genoelselderen_-_Kasteelhoeve2.jpg/640px-Genoelselderen_-_Kasteelhoeve2.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/b/bd/Genoelselderen_-_Kasteelhoeve2.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Kasteelhoeve2.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6346953'}]",50.780411024272375,5.518021278359958,5000
6346991,6,File:Genoelselderen - Oranjerie en wijngaard.jpg,17,"[{'lat': 50.80472222, 'lon': 5.5375, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Genoelselderen_-_Oranjerie_en_wijngaard.jpg/320px-Genoelselderen_-_Oranjerie_en_wijngaard.jpg', 'thumbwidth': 320, 'thumbheight': 175, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Genoelselderen_-_Oranjerie_en_wijngaard.jpg/480px-Genoelselderen_-_Oranjerie_en_wijngaard.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Genoelselderen_-_Oranjerie_en_wijngaard.jpg/639px-Genoelselderen_-_Oranjerie_en_wijngaard.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/8/81/Genoelselderen_-_Oranjerie_en_wijngaard.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Oranjerie_en_wijngaard.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6346991'}]",50.780411024272375,5.518021278359958,5000
6347007,6,File:Genoelselderen - Kasteel en park.jpg,18,"[{'lat': 50.805, 'lon': 5.53805556, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Genoelselderen_-_Kasteel_en_park.jpg/320px-Genoelselderen_-_Kasteel_en_park.jpg', 'thumbwidth': 320, 'thumbheight': 214, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Genoelselderen_-_Kasteel_en_park.jpg/480px-Genoelselderen_-_Kasteel_en_park.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Genoelselderen_-_Kasteel_en_park.jpg/640px-Genoelselderen_-_Kasteel_en_park.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/35/Genoelselderen_-_Kasteel_en_park.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Kasteel_en_park.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6347007'}]",50.780411024272375,5.518021278359958,5000
6347056,6,File:Genoelselderen - Kasteel (zijgevel) en kelder.jpg,19,"[{'lat': 50.80503, 'lon': 5.53835, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg/320px-Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg', 'thumbwidth': 320, 'thumbheight': 214, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg/480px-Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg/640px-Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/8/83/Genoelselderen_-_Kasteel_%28zijgevel%29_en_kelder.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Kasteel_(zijgevel)_en_kelder.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6347056'}]",50.780411024272375,5.518021278359958,5000
6357573,6,File:Genoelselderen - Kasteelstraat.jpg,20,"[{'lat': 50.80527778, 'lon': 5.53888889, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Genoelselderen_-_Kasteelstraat.jpg/320px-Genoelselderen_-_Kasteelstraat.jpg', 'thumbwidth': 320, 'thumbheight': 198, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Genoelselderen_-_Kasteelstraat.jpg/480px-Genoelselderen_-_Kasteelstraat.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Genoelselderen_-_Kasteelstraat.jpg/640px-Genoelselderen_-_Kasteelstraat.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/1/1e/Genoelselderen_-_Kasteelstraat.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Kasteelstraat.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6357573'}]",50.780411024272375,5.518021278359958,5000
6357952,6,File:Genoelselderen - Sint-Martinuskerk2.jpg,21,"[{'lat': 50.80083333, 'lon': 5.53472222, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Genoelselderen_-_Sint-Martinuskerk2.jpg/320px-Genoelselderen_-_Sint-Martinuskerk2.jpg', 'thumbwidth': 320, 'thumbheight': 232, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Genoelselderen_-_Sint-Martinuskerk2.jpg/480px-Genoelselderen_-_Sint-Martinuskerk2.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Genoelselderen_-_Sint-Martinuskerk2.jpg/640px-Genoelselderen_-_Sint-Martinuskerk2.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/1/12/Genoelselderen_-_Sint-Martinuskerk2.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Sint-Martinuskerk2.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6357952'}]",50.780411024272375,5.518021278359958,5000
6358042,6,File:Genoelselderen - Casa de la vila.jpg,22,"[{'lat': 50.80277778, 'lon': 5.5375, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Genoelselderen_-_Casa_de_la_vila.jpg/320px-Genoelselderen_-_Casa_de_la_vila.jpg', 'thumbwidth': 320, 'thumbheight': 237, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Genoelselderen_-_Casa_de_la_vila.jpg/480px-Genoelselderen_-_Casa_de_la_vila.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Genoelselderen_-_Casa_de_la_vila.jpg/640px-Genoelselderen_-_Casa_de_la_vila.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/a/af/Genoelselderen_-_Casa_de_la_vila.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Genoelselderen_-_Casa_de_la_vila.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=6358042'}]",50.780411024272375,5.518021278359958,5000
10835677,6,File:20100706 tongeren83.JPG,23,"[{'lat': 50.77929, 'lon': 5.46948, 'primary': False}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/20100706_tongeren83.JPG/320px-20100706_tongeren83.JPG', 'thumbwidth': 320, 'thumbheight': 214, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/20100706_tongeren83.JPG/480px-20100706_tongeren83.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/20100706_tongeren83.JPG/640px-20100706_tongeren83.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/7/7f/20100706_tongeren83.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:20100706_tongeren83.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=10835677'}]",50.780411024272375,5.518021278359958,5000
10835830,6,File:20100706 tongeren87.JPG,24,"[{'lat': 50.77968, 'lon': 5.47007, 'primary': False}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/20100706_tongeren87.JPG/320px-20100706_tongeren87.JPG', 'thumbwidth': 320, 'thumbheight': 478, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/20100706_tongeren87.JPG/480px-20100706_tongeren87.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/20100706_tongeren87.JPG/640px-20100706_tongeren87.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/d/db/20100706_tongeren87.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:20100706_tongeren87.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=10835830'}]",50.780411024272375,5.518021278359958,5000
