pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
19908113,6,File:Julienne - Dueker.jpg,9,"[{'lat': 50.70522222, 'lon': 5.68413611, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
19916947,6,File:Argenteau - Gemeentehuis.jpg,10,"[{'lat': 50.70545556, 'lon': 5.68381667, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Argenteau_-_Gemeentehuis.jpg/320px-Argenteau_-_Gemeentehuis.jpg', 'thumbwidth': 320, 'thumbheight': 212, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Argenteau_-_Gemeentehuis.jpg/480px-Argenteau_-_Gemeentehuis.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Argenteau_-_Gemeentehuis.jpg/640px-Argenteau_-_Gemeentehuis.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/a/aa/Argenteau_-_Gemeentehuis.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Argenteau_-_Gemeentehuis.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=19916947'}]",,,,,50.716847144862456,5.618211744664125,5000
20220636,6,File:Herstal-bonneesperance-1.jpg,11,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
21054034,6,File:Charbonnage Abhooz.jpg,12,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Charbonnage_Abhooz.jpg/320px-Charbonnage_Abhooz.jpg', 'thumbwidth': 320, 'thumbheight': 224, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Charbonnage_Abhooz.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Charbonnage_Abhooz.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/a/ac/Charbonnage_Abhooz.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_Abhooz.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=21054034'}]",,,,,50.716847144862456,5.618211744664125,5000
21225480,6,File:Charbonnage de Bonne Esperance - Vestiaires 01.jpg,13,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/5/56/Charbonnage_de_Bonne_Esperance_-_Vestiaires_01.jpg', 'thumbwidth': 297, 'thumbheight': 425, 'url': 'https://upload.wikimedia.org/wikipedia/commons/5/56/Charbonnage_de_Bonne_Esperance_-_Vestiaires_01.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Bonne_Esperance_-_Vestiaires_01.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=21225480'}]",,,,,50.716847144862456,5.618211744664125,5000
21225528,6,File:Charbonnage de Bonne Esperance - Vestiaires 02.jpg,14,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Charbonnage_de_Bonne_Esperance_-_Vestiaires_02.jpg/320px-Charbonnage_de_Bonne_Esperance_-_Vestiaires_02.jpg', 'thumbwidth': 320, 'thumbheight': 241, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Charbonnage_de_Bonne_Esperance_-_Vestiaires_02.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Charbonnage_de_Bonne_Esperance_-_Vestiaires_02.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/3d/Charbonnage_de_Bonne_Esperance_-_Vestiaires_02.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Bonne_Esperance_-_Vestiaires_02.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=21225528'}]",,,,,50.716847144862456,5.618211744664125,5000
21225560,6,File:Charbonnage de Bonne Esperance - Vestiaires 03.jpg,15,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Charbonnage_de_Bonne_Esperance_-_Vestiaires_03.jpg/320px-Charbonnage_de_Bonne_Esperance_-_Vestiaires_03.jpg', 'thumbwidth': 320, 'thumbheight': 234, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/3/35/Charbonnage_de_Bonne_Esperance_-_Vestiaires_03.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/3/35/Charbonnage_de_Bonne_Esperance_-_Vestiaires_03.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/35/Charbonnage_de_Bonne_Esperance_-_Vestiaires_03.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Bonne_Esperance_-_Vestiaires_03.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=21225560'}]",,,,,50.716847144862456,5.618211744664125,5000
21755053,6,File:Reste d'architecture militaire devant l'église de Haccourt (2) - 62079-CLT-0003-01.JPG,16,"[{'lat': 50.73360556, 'lon': 5.66653889, 'primary': False}]",,,,,,,50.716847144862456,5.618211744664125,5000
21755054,6,File:Reste d'architecture militaire devant l'église de Haccourt (1) - 62079-CLT-0003-01.JPG,17,"[{'lat': 50.73360556, 'lon': 5.66653889, 'primary': False}]",,,,,,,50.716847144862456,5.618211744664125,5000
21755055,6,File:Reste d'architecture militaire devant l'église de Haccourt (3) - 62079-CLT-0003-01.JPG,18,"[{'lat': 50.73360556, 'lon': 5.66653889, 'primary': False}]",,,,,,,50.716847144862456,5.618211744664125,5000
22174273,6,File:Knooppunt Cheratte.svg,19,"[{'lat': 50.68051111, 'lon': 5.65896667, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
22977270,6,File:Charbonnage de Bonne Esperance 01.jpg,20,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Charbonnage_de_Bonne_Esperance_01.jpg/320px-Charbonnage_de_Bonne_Esperance_01.jpg', 'thumbwidth': 320, 'thumbheight': 203, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Charbonnage_de_Bonne_Esperance_01.jpg/480px-Charbonnage_de_Bonne_Esperance_01.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Charbonnage_de_Bonne_Esperance_01.jpg/640px-Charbonnage_de_Bonne_Esperance_01.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/5/56/Charbonnage_de_Bonne_Esperance_01.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Bonne_Esperance_01.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=22977270'}]",,,,,50.716847144862456,5.618211744664125,5000
23313146,6,File:Charbonnage de Mimort-2.jpg,21,"[{'lat': 50.68638889, 'lon': 5.60222222, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Charbonnage_de_Mimort-2.jpg/320px-Charbonnage_de_Mimort-2.jpg', 'thumbwidth': 320, 'thumbheight': 207, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Charbonnage_de_Mimort-2.jpg/480px-Charbonnage_de_Mimort-2.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/4/42/Charbonnage_de_Mimort-2.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/4/42/Charbonnage_de_Mimort-2.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Mimort-2.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=23313146'}]",,,,,50.716847144862456,5.618211744664125,5000
23434691,6,File:Charbonnage de Milmort - 01.jpg,22,"[{'lat': 50.68694444, 'lon': 5.60111111, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Charbonnage_de_Milmort_-_01.jpg/320px-Charbonnage_de_Milmort_-_01.jpg', 'thumbwidth': 320, 'thumbheight': 480, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Charbonnage_de_Milmort_-_01.jpg/480px-Charbonnage_de_Milmort_-_01.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Charbonnage_de_Milmort_-_01.jpg/640px-Charbonnage_de_Milmort_-_01.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/f/ff/Charbonnage_de_Milmort_-_01.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Milmort_-_01.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=23434691'}]",,,,,50.716847144862456,5.618211744664125,5000
23435613,6,File:Charbonnage de Milmort - 02.jpg,23,"[{'lat': 50.68666667, 'lon': 5.60194444, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Charbonnage_de_Milmort_-_02.jpg/320px-Charbonnage_de_Milmort_-_02.jpg', 'thumbwidth': 320, 'thumbheight': 480, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Charbonnage_de_Milmort_-_02.jpg/480px-Charbonnage_de_Milmort_-_02.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Charbonnage_de_Milmort_-_02.jpg/640px-Charbonnage_de_Milmort_-_02.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/9/91/Charbonnage_de_Milmort_-_02.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Milmort_-_02.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=23435613'}]",,,,,50.716847144862456,5.618211744664125,5000
28909915,6,File:Charbonnage d'Abhooz - 01.png,24,"[{'lat': 50.67527778, 'lon': 5.64083333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Charbonnage_d%27Abhooz_-_01.png/320px-Charbonnage_d%27Abhooz_-_01.png', 'thumbwidth': 320, 'thumbheight': 218, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Charbonnage_d%27Abhooz_-_01.png/480px-Charbonnage_d%27Abhooz_-_01.png', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Charbonnage_d%27Abhooz_-_01.png/640px-Charbonnage_d%27Abhooz_-_01.png'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/0/08/Charbonnage_d%27Abhooz_-_01.png', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_d%27Abhooz_-_01.png', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=28909915'}]",,,,,50.716847144862456,5.618211744664125,5000
28910009,6,File:Charbonnage de Milmort - 03.png,25,"[{'lat': 50.68638889, 'lon': 5.60222222, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Charbonnage_de_Milmort_-_03.png/320px-Charbonnage_de_Milmort_-_03.png', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Charbonnage_de_Milmort_-_03.png/480px-Charbonnage_de_Milmort_-_03.png', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Charbonnage_de_Milmort_-_03.png/640px-Charbonnage_de_Milmort_-_03.png'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/1/1f/Charbonnage_de_Milmort_-_03.png', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Charbonnage_de_Milmort_-_03.png', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=28910009'}]",,,,,50.716847144862456,5.618211744664125,5000
37132966,6,File:6319 - panoramio.jpg,26,"[{'lat': 50.680879, 'lon': 5.648046, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/6319_-_panoramio.jpg/320px-6319_-_panoramio.jpg', 'thumbwidth': 320, 'thumbheight': 256, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/6319_-_panoramio.jpg/480px-6319_-_panoramio.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/6319_-_panoramio.jpg/640px-6319_-_panoramio.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/c/cb/6319_-_panoramio.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:6319_-_panoramio.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=37132966'}]",,,,,50.716847144862456,5.618211744664125,5000
37942834,6,File:Monument Rhées02LR.jpg,27,"[{'lat': 50.680496, 'lon': 5.6185, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
37942835,6,File:Monument Rhées01LR.jpg,28,"[{'lat': 50.680496, 'lon': 5.6185, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
38557692,6,"File:Vivegnis, l'église Saint-Pierre foto9 2014-10-19 15.33.jpg",29,"[{'lat': 50.6975, 'lon': 5.65277778, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
