image_path,predicted_score
data/processed/wikimedia_commons/images/DE/ns6/7720/File:Hamburg-Alsterdorf U-Bahnhof1.jpeg,1.922465
data/processed/wikimedia_commons/images/PL/ns6/959/File:Korolowska Ulica.jpeg,1.9929078
data/processed/wikimedia_commons/images/FR/ns6/11001/File:Rue du Pré Caillat (Beynost) arrière du magasin Kiabi (février 2024).jpeg,1.9285347
data/processed/wikimedia_commons/images/UK/ns6/828/File:DU60LOJ Ipswich Buses.jpeg,1.9747956
"data/processed/wikimedia_commons/images/CZ/ns6/578/File:Zlín, Okružní, trolejbus 402 u zastávky Křiby.jpeg",1.9900908
data/processed/wikimedia_commons/images/ES/ns6/1236/File:Pont de Xirivella. Inici de l'avinguda del Cid 3.jpeg,1.9071591
data/processed/wikimedia_commons/images/DE/ns6/3661/File:Umspannwerk des ehem. Braunkohlekraftwerkes Wölfersheim 04.jpeg,1.9139576
data/processed/wikimedia_commons/images/FR/ns6/35967/File:Boulevard Rouget Lisle - Montreuil (FR93) - 2020-10-19 - 1.jpeg,1.8165932
data/processed/wikimedia_commons/images/DE/ns6/18/File:GER — BY — Landkreis Garmisch-Partenkirchen — Mittenwald — Alpenkorpsstraße 1 (Karwendelbahn Steuerstand Gondel).jpeg,1.922503
data/processed/wikimedia_commons/images/PL/ns6/716/File:Wrocław - fotopolska.eu (287832).jpeg,1.8929664
data/processed/wikimedia_commons/images/CH/ns6/439/File:SMJ 2021-06-06 P5 Finals Floor exercise (Norman Seibert) - QH3A4232.jpeg,1.6697912
"data/processed/wikimedia_commons/images/CZ/ns6/1838/File:Švehlova, podjezd do Průběžné, autobus (02).jpeg",1.9258766
data/processed/wikimedia_commons/images/PL/ns6/1328/File:Aplauz complex.jpeg,1.981611
"data/processed/wikimedia_commons/images/RO/ns6/562/File:Timișoara, autogara Autotim, 1.jpeg",1.8911822
data/processed/wikimedia_commons/images/FI/ns6/669/File:Aholaidan Ylikulkukäytävä 2.jpeg,1.9594288
"data/processed/wikimedia_commons/images/IT/ns6/1775/File:意大利威尼斯 Venice, Italy Cina Xinjiang, Urumqi il benvenuto all - panoramio (16).jpeg",1.9812174
"data/processed/wikimedia_commons/images/IE/ns6/297/File:Boyle Sports, Monaghan - geograph.org.uk - 2653019.jpeg",1.9551594
data/processed/wikimedia_commons/images/FR/ns6/29900/File:Hall Gare Montparnasse - Paris XV (FR75) - 2022-07-07 - 5.jpeg,1.7877259
"data/processed/wikimedia_commons/images/DE/ns6/2655/File:Darmstadt, Germany - panoramio (77).jpeg",1.9738472
data/processed/wikimedia_commons/images/FR/ns6/39460/File:Quai central de la gare de Metz-Ville au matin (juin 2019).jpeg,1.9562583
"data/processed/wikimedia_commons/images/CH/ns6/728/File:Romanshorn Autobau Museum ( Ank Kumar, Infosys Limited) 33.jpeg",1.9589386
data/processed/wikimedia_commons/images/PT/ns6/287/File:Figueira da Foz - Portugal (16911551842).jpeg,1.9494143
"data/processed/wikimedia_commons/images/DE/ns6/5341/File:Großenhainer Straße 187a, Dresden.jpeg",1.9460058
data/processed/wikimedia_commons/images/FR/ns6/28657/File:Allée Acacias - Villecresnes (FR94) - 2022-05-22 - 2.jpeg,1.9555671
"data/processed/wikimedia_commons/images/DE/ns6/7478/File:ALDI supermarket, Hesel (2019) 04.jpeg",1.8678403
data/processed/wikimedia_commons/images/RO/ns6/697/File:14.04.23 Adjud 400355 (52839726704).jpeg,1.9783132
data/processed/wikimedia_commons/images/FR/ns6/28904/File:Villejuif en 2022 - Bd Gorki 13.jpeg,1.9883163
data/processed/wikimedia_commons/images/ES/ns6/2650/File:Daniil Kvyat-Toro Rosso-2019 (3).jpeg,1.8082888
data/processed/wikimedia_commons/images/FR/ns6/12684/File:Panneaux C117-b21c1 M11c1 D41c Da31a Da31c A1a B14.jpeg,1.9473069
data/processed/wikimedia_commons/images/PL/ns6/1418/File:POL Lomianki center.jpeg,1.9685671
"data/processed/wikimedia_commons/images/AT/ns6/986/File:2017-06-15 AT Wien 22 Donaustadt, U Hausfeldstraße (50116444986).jpeg",1.9336216
"data/processed/wikimedia_commons/images/FR/ns6/35262/File:Marc Desse, Oh la la !, Paris, France (28-09-2023) · © Danilo Samà.jpeg",1.913628
data/processed/wikimedia_commons/images/DE/ns6/724/File:Rupprecht-Gymnasium Neubau halb fertig.jpeg,1.9583852
data/processed/wikimedia_commons/images/DE/ns6/2227/File:185 540-2 TX Logistik Furth 04.03.15 (16760143336).jpeg,1.9746983
