image_path,predicted_score
data/processed/wikimedia_commons/images/CH/ns6/158/File:France ARA 74 Yvoire Chateau 01.jpeg,4.368028
data/processed/wikimedia_commons/images/PT/ns6/4/File:Praia da Boca do Rio - Portugal (52513930981).jpeg,4.602063
data/processed/wikimedia_commons/images/UK/ns6/1924/File:Bridge over Whitecleuch Lane - geograph.org.uk - 1316668.jpeg,4.5988903
data/processed/wikimedia_commons/images/UK/ns6/2304/File:Shore by Torgorm - geograph.org.uk - 2347521.jpeg,4.7272406
data/processed/wikimedia_commons/images/UK/ns6/2221/File:Chinooks overfly the northern shores of Loch Lochy. - geograph.org.uk - 386069.jpeg,4.5096693
data/processed/wikimedia_commons/images/TR/ns6/125/File:Serigerme - panoramio (8).jpeg,4.8151197
"data/processed/wikimedia_commons/images/FR/ns6/40828/File:Hénin-Beaumont - Terril n° 205, 1 de Drocourt (25).jpeg",4.3576794
data/processed/wikimedia_commons/images/EL/ns6/163/File:Επίδαυρος Λιμηρά DJI 4402.jpeg,4.9890723
data/processed/wikimedia_commons/images/DE/ns6/2101/File:Schwarzenbruck (22695348115).jpeg,4.637725
data/processed/wikimedia_commons/images/UK/ns6/1913/File:Ellis Crag - geograph.org.uk - 582320.jpeg,4.760314
"data/processed/wikimedia_commons/images/NO/ns6/2324/File:Steinsland in Tjeldsund over Tjeldsundet, Harstad, Troms og Finnmark, Norway, 2022 June.jpeg",4.7138815
data/processed/wikimedia_commons/images/NL/ns6/2650/File:Zonsopgang op De Famberhorst 05.jpeg,4.135513
data/processed/wikimedia_commons/images/IT/ns6/49/File:Castello Barresi Pietraperzia 3.jpeg,4.5311832
data/processed/wikimedia_commons/images/UK/ns6/1652/File:Ruin on Birks Fell - geograph.org.uk - 296211.jpeg,4.463837
data/processed/wikimedia_commons/images/FR/ns6/6829/File:La Roque Gageac - panoramio - Colin W (5).jpeg,4.0476365
data/processed/wikimedia_commons/images/DE/ns6/3053/File:Balesfelder Bach im Zulauf.jpeg,4.0092735
data/processed/wikimedia_commons/images/CH/ns6/53/File:Lake Como scene10.jpeg,4.7562656
data/processed/wikimedia_commons/images/NO/ns6/1015/File:Sylvarnes.jpeg,4.6537285
data/processed/wikimedia_commons/images/IT/ns6/920/File:Il Corno Piccolo.jpeg,4.975377
data/processed/wikimedia_commons/images/UK/ns6/709/File:Maldon Autumn Spring Tide - panoramio - Lee Garton (2).jpeg,4.4976954
data/processed/wikimedia_commons/images/CZ/ns6/1644/File:Rudoltice (Sobotín) 08 Rybníček.jpeg,4.0542955
data/processed/wikimedia_commons/images/DE/ns6/3548/File:Schwäne (Cygni polores) nebst Stockenten im Pfaffenteich 20190827 026.jpeg,4.2495813
"data/processed/wikimedia_commons/images/EL/ns6/513/File:Agiou Nikolaou, Antirrio 300 20, Greece - panoramio (7).jpeg",4.0868435
data/processed/wikimedia_commons/images/UK/ns6/550/File:Bracelet Bay - geograph.org.uk - 19863.jpeg,4.749056
data/processed/wikimedia_commons/images/EL/ns6/1018/File:XANTHI-NESTOS RIVER - panoramio.jpeg,4.841508
data/processed/wikimedia_commons/images/UK/ns6/1415/File:Limestone Pavement on the Great Orme - geograph.org.uk - 345790.jpeg,4.63121
data/processed/wikimedia_commons/images/UK/ns6/585/File:Grey's Court - geograph.org.uk - 1761224.jpeg,4.0045757
data/processed/wikimedia_commons/images/UK/ns6/1465/File:Ruins of the old lodge at Mynachdy - geograph.org.uk - 1245176.jpeg,4.0177965
data/processed/wikimedia_commons/images/SE/ns6/1319/File:Östra-Fjälltjärnen-Hagfors.jpeg,4.1697164
