image_path,predicted_score
data/processed/wikimedia_commons/images/UK/ns6/645/File:Kidwelly Bridge-Pont Cydweli.jpeg,3.8573785
data/processed/wikimedia_commons/images/NO/ns6/2022/File:Ytteren kirkegård 20140627 IMAG0392.jpeg,3.5697641
data/processed/wikimedia_commons/images/TR/ns6/186/File:Черепаший остров недалеко от Анталии - panoramio.jpeg,3.940044
data/processed/wikimedia_commons/images/PL/ns6/2100/File:Saint Nicholas church in Cieszyn (7).jpeg,3.9275632
data/processed/wikimedia_commons/images/SE/ns6/879/File:20180624 D-holmPalace 5740 (48412180201).jpeg,3.3956137
data/processed/wikimedia_commons/images/UK/ns6/253/File:Bottom end of Brook Lane - geograph.org.uk - 643627.jpeg,3.4255295
data/processed/wikimedia_commons/images/UK/ns6/137/File:The gap between Portsmouth and Havant - geograph.org.uk - 638052.jpeg,3.5456715
"data/processed/wikimedia_commons/images/AT/ns6/848/File:AT 20143 Tritonen- und Najadenbrunnen, Hofmann von Aspernburg, southwest side-5297.jpeg",3.9632597
data/processed/wikimedia_commons/images/DE/ns6/4645/File:Schloßchemnitz Chemnitz 10.jpeg,3.2243586
data/processed/wikimedia_commons/images/PT/ns6/176/File:Castelo Estremoz.jpeg,3.2835338
data/processed/wikimedia_commons/images/DE/ns6/1038/File:Fegersheim-St Maurice106.jpeg,3.4685442
data/processed/wikimedia_commons/images/DE/ns6/2874/File:NSG Mainzer Sand1.jpeg,3.8418365
data/processed/wikimedia_commons/images/DE/ns6/4001/File:2011-08-17-bonn-rheinaue-14.jpeg,3.8193192
data/processed/wikimedia_commons/images/ES/ns6/2879/File:11 El Genís (Santa Eugènia de Berga).jpeg,3.177658
data/processed/wikimedia_commons/images/DE/ns6/5739/File:20070504235DR Walda (Großenhain) Schloßmühle Altenheim.jpeg,3.339406
data/processed/wikimedia_commons/images/FR/ns6/37474/File:Église Saint-Pierre du Mesnil-Aubert - Peintures murales (femmes de petite vertu) (2).jpeg,3.949439
data/processed/wikimedia_commons/images/CZ/ns6/359/File:Fara židlochovice 2.jpeg,3.081936
data/processed/wikimedia_commons/images/DK/ns6/99/File:Hou Kirke.4.jpeg,3.7296944
"data/processed/wikimedia_commons/images/CZ/ns6/1097/File:Dominikální Paseky, pohled do údolí.jpeg",3.2438962
data/processed/wikimedia_commons/images/NL/ns6/541/File:Utrecht - Domkerk - Dom Church - 36077 - Pandhof.jpeg,3.6294155
"data/processed/wikimedia_commons/images/BE/ns6/355/File:Parochiekerk Sint-Lambertus, Lovenjoel.jpeg",3.3145144
data/processed/wikimedia_commons/images/FR/ns6/34024/File:Bâtiments prévus pour démolition le long du Boulevard de l'Hôpital à Paris le 3 janvier 2017 - 22.jpeg,3.7653642
