pageid,ns,title,index,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius,query_id,country
155,0,Q41,-1,True,False,False,39.69181618,20.0084424,False,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/The_Acropolis_and_Mount_Hymettus_from_Philopappos_Hill_on_July_18%2C_2019.jpg/320px-The_Acropolis_and_Mount_Hymettus_from_Philopappos_Hill_on_July_18%2C_2019.jpg,320.0,213.0,Greece,39.644247915936766,20.070883070699814,10000,0,AL
21803,0,Q18731,0,False,False,False,39.65889,20.18139,True,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Konispol.jpg/320px-Konispol.jpg,320.0,179.0,Konispol,39.644247915936766,20.070883070699814,10000,0,AL
1655024,0,Q1721931,1,True,False,False,39.586667,20.142222,False,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Kalamas.jpg/320px-Kalamas.jpg,320.0,240.0,Thyamis,39.644247915936766,20.070883070699814,10000,0,AL
1704402,0,Q1772340,2,False,False,False,39.5867,20.1422,True,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Kalamas1939.JPG/320px-Kalamas1939.JPG,320.0,263.0,Battle of Elaia–Kalamas,39.644247915936766,20.070883070699814,10000,0,AL
3482826,0,Q3655938,3,False,False,False,39.68527778,19.98972222,True,,,,Stil Island,39.644247915936766,20.070883070699814,10000,0,AL
4040246,0,Q4230832,4,False,False,False,39.67508316,20.17597198,True,,,,Konispol cave,39.644247915936766,20.070883070699814,10000,0,AL
5403185,0,Q5642105,5,False,False,False,39.69,20.006,True,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Kepi_Stillos_-Ishulli_Tongos.jpg/320px-Kepi_Stillos_-Ishulli_Tongos.jpg,320.0,209.0,Tongo Island,39.644247915936766,20.070883070699814,10000,0,AL
8532117,0,Q8558705,6,False,False,False,39.65388889,20.15861111,True,,,,Qafë Botë,39.644247915936766,20.070883070699814,10000,0,AL
14551388,0,Q13037412,7,False,False,False,39.6964,20.138,True,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bashkia_e_Konispolit_n%C3%AB_Hart%C3%ABn_e_Shqip%C3%ABris%C3%AB.svg/320px-Bashkia_e_Konispolit_n%C3%AB_Hart%C3%ABn_e_Shqip%C3%ABris%C3%AB.svg.png,320.0,714.0,Konispol municipality,39.644247915936766,20.070883070699814,10000,0,AL
14565763,0,Q13045731,8,False,False,False,39.6897,20.1233,True,,,,Shkallë,39.644247915936766,20.070883070699814,10000,0,AL
23686414,0,Q21645767,9,True,False,False,39.68084,20.12248,False,,,,Cestrina,39.644247915936766,20.070883070699814,10000,0,AL
23692722,0,Q21652238,10,False,False,False,39.68083889,20.12248056,True,,,,Çukë e Ajtoit,39.644247915936766,20.070883070699814,10000,0,AL
24034546,0,Q22002788,11,False,False,False,39.71194444,20.01333333,True,,,,Stilos,39.644247915936766,20.070883070699814,10000,0,AL
24034581,0,Q22002823,12,False,False,False,39.66667,20.11667,True,,,,Leko,39.644247915936766,20.070883070699814,10000,0,AL
24034608,0,Q22002850,13,False,False,False,39.7075,20.1408,True,,,,Tupal,39.644247915936766,20.070883070699814,10000,0,AL
24034613,0,Q22002855,14,False,False,False,39.7,20.03333,True,,,,Aeri,39.644247915936766,20.070883070699814,10000,0,AL
24034614,0,Q22002856,15,False,False,False,39.65,20.13333,True,,,,Aspropotamos,39.644247915936766,20.070883070699814,10000,0,AL
24034616,0,Q22002858,16,False,False,False,39.7,20.05,True,,,,Cingeli,39.644247915936766,20.070883070699814,10000,0,AL
24034617,0,Q22002859,17,False,False,False,39.6492,20.18,True,,,,Eglise,39.644247915936766,20.070883070699814,10000,0,AL
24034618,0,Q22002860,18,False,False,False,39.6846,20.0111,True,,,,Gjiri i Ftelias,39.644247915936766,20.070883070699814,10000,0,AL
24034619,0,Q22002861,19,False,False,False,39.6808,20.0908,True,,,,Orle,39.644247915936766,20.070883070699814,10000,0,AL
24034620,0,Q22002862,20,False,False,False,39.7,20.03333,True,,,,Sata,39.644247915936766,20.070883070699814,10000,0,AL
24039394,0,Q22007675,21,False,False,False,39.68389,19.98417,True,,,,Ishulli i Stilit,39.644247915936766,20.070883070699814,10000,0,AL
24039395,0,Q22007676,22,False,False,False,39.68972,19.98139,True,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/ISS028-E-12041_-_View_of_Albania_%28Stillo%29.jpg/320px-ISS028-E-12041_-_View_of_Albania_%28Stillo%29.jpg,320.0,304.0,Kepi i Stilit,39.644247915936766,20.070883070699814,10000,0,AL
