pageid,ns,title,index,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius,query_id,country
76407,0,Q73723,-1,False,False,False,39.775,19.995,True,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Ksamil-ksamil_islands.jpg/320px-Ksamil-ksamil_islands.jpg,320.0,214.0,Ksamil Islands,39.777899212125895,19.9711555691039,10000,2,AL
187321,0,Q188694,0,False,False,False,39.746067,20.020534,True,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Butrint%2C_Albania.jpg/320px-Butrint%2C_Albania.jpg,320.0,240.0,Butrint,39.777899212125895,19.9711555691039,10000,2,AL
319379,0,Q333229,1,False,False,False,39.74805556,19.865,True,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Pantokrator_from_AL.jpg/320px-Pantokrator_from_AL.jpg,320.0,473.0,Mount Pantokrator,39.777899212125895,19.9711555691039,10000,2,AL
802940,0,Q851050,2,False,False,False,39.78333333,20.03333333,True,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Lac_de_Butrint.jpg/320px-Lac_de_Butrint.jpg,320.0,213.0,Lake Butrint,39.777899212125895,19.9711555691039,10000,2,AL
818075,0,Q866727,3,True,False,False,39.843889,20.029511,False,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/MesopotamAmFlussBistrica.JPG/320px-MesopotamAmFlussBistrica.JPG,320.0,180.0,Bistricë,39.777899212125895,19.9711555691039,10000,2,AL
842731,0,Q891803,4,False,False,False,39.75805556,19.96194444,True,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Corfu_Channel.jpg/320px-Corfu_Channel.jpg,320.0,200.0,Straits of Corfu,39.777899212125895,19.9711555691039,10000,2,AL
924927,0,Q975250,5,False,False,False,39.746111,20.020278,True,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Butrinti%2C_Sarande_12.jpg/320px-Butrinti%2C_Sarande_12.jpg,320.0,180.0,Butrint National Park,39.777899212125895,19.9711555691039,10000,2,AL
967308,0,Q1017911,6,False,False,False,39.74606694,20.02053389,True,,,,Buthrotum titular see,39.777899212125895,19.9711555691039,10000,2,AL
1315657,0,Q1376434,7,False,False,False,39.77,19.97,True,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/GY_mine_Corfu_Channel_1946_IWM_A_31242.jpg/320px-GY_mine_Corfu_Channel_1946_IWM_A_31242.jpg,320.0,258.0,Corfu Channel incident,39.777899212125895,19.9711555691039,10000,2,AL
1416470,0,Q1478519,8,False,False,False,39.75217225,20.04161596,True,,,,Kalivo,39.777899212125895,19.9711555691039,10000,2,AL
1628040,0,Q1694710,9,False,False,False,39.72777778,19.9,True,,,,Nisaki,39.777899212125895,19.9711555691039,10000,2,AL
1668287,0,Q1735279,10,False,False,False,39.7883,19.9207,True,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Griechenland_korfu_kassiopi_panorama.jpg/320px-Griechenland_korfu_kassiopi_panorama.jpg,320.0,103.0,Kassiopi,39.777899212125895,19.9711555691039,10000,2,AL
1722275,0,Q1790776,11,False,False,False,39.769548,20.003515,True,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ksamil.jpg/320px-Ksamil.jpg,320.0,199.0,Ksamil,39.777899212125895,19.9711555691039,10000,2,AL
2440828,0,Q2529006,12,False,False,False,39.74449722,20.01184722,True,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Vivari_Channel.jpg/320px-Vivari_Channel.jpg,320.0,183.0,Vivari Channel,39.777899212125895,19.9711555691039,10000,2,AL
2607635,0,Q2712025,13,False,False,False,39.73333333,20.05,True,,,,Xarrë,39.777899212125895,19.9711555691039,10000,2,AL
