pageid,ns,title,index,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius,query_id,country
704021,0,Q748235,-1,False,False,False,39.81666667,20.11666667,True,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Sarand%C3%AB_District.svg/320px-Sarand%C3%AB_District.svg.png,320.0,631.0,Sarandë District,39.777723115449575,20.17333256963372,10000,3,AL
2453667,0,Q2542448,0,False,False,False,39.78333333,20.11666667,True,,,,Livadhja,39.777723115449575,20.17333256963372,10000,3,AL
2607603,0,Q2711989,1,False,False,False,39.73333333,20.2,True,,,,Markat,39.777723115449575,20.17333256963372,10000,3,AL
2607613,0,Q2712000,2,False,False,False,39.83333333,20.16666667,True,,,,Dhivër,39.777723115449575,20.17333256963372,10000,3,AL
4839738,0,Q5064507,3,False,False,False,39.82694444,20.20777778,True,,,,Cerkovica,39.777723115449575,20.17333256963372,10000,3,AL
5948919,0,Q6154198,4,False,False,False,39.83638889,20.22555556,True,,,,Janicat,39.777723115449575,20.17333256963372,10000,3,AL
7507445,0,Q7588997,5,False,False,False,39.8183,20.2144,True,,,,St. John the Theologian's Monastery Tower,39.777723115449575,20.17333256963372,10000,3,AL
7508672,0,Q7590178,6,False,False,False,39.8156,20.2296,True,,,,"St. Mary's Church, Melçan",39.777723115449575,20.17333256963372,10000,3,AL
7509322,0,Q7590807,7,False,False,False,39.8311,20.1815,True,,,,"St. Nicholas' Monastery Church, Dhivër",39.777723115449575,20.17333256963372,10000,3,AL
7884106,0,Q7943690,8,False,False,False,39.8044,20.0714,True,,,,Vurg,39.777723115449575,20.17333256963372,10000,3,AL
14551388,0,Q13037412,9,False,False,False,39.6964,20.138,True,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Bashkia_e_Konispolit_n%C3%AB_Hart%C3%ABn_e_Shqip%C3%ABris%C3%AB.svg/320px-Bashkia_e_Konispolit_n%C3%AB_Hart%C3%ABn_e_Shqip%C3%ABris%C3%AB.svg.png,320.0,714.0,Konispol municipality,39.777723115449575,20.17333256963372,10000,3,AL
14556885,0,Q13040667,10,False,False,False,39.7503,20.2603,True,,,,Karroq,39.777723115449575,20.17333256963372,10000,3,AL
14560033,0,Q13042460,11,False,False,False,39.81555557,20.23027802,True,,,,Maliçan,39.777723115449575,20.17333256963372,10000,3,AL
