pageid,ns,title,index,coordinates,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius
39645532,0,Q38279503,45,"[{'lat': 39.59486111, 'lon': 20.20136111, 'primary': True}]",,,,['Archaeological site of Mastilitsa'],39.64407264763161,20.272670314810025,10000
51035857,0,Q50036613,46,"[{'lat': 39.600166, 'lon': 20.315179, 'primary': True}]",,,,['General Hospital of Filiates'],39.64407264763161,20.272670314810025,10000
56336316,0,Q56397190,47,"[{'lat': 39.572364, 'lon': 20.241985, 'primary': True}]",,,,"['Moni Koimisis Theotokou, Ragio']",39.64407264763161,20.272670314810025,10000
56337065,0,Q56397961,48,"[{'lat': 39.654791, 'lon': 20.325125, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Giromeriou_monastery_1.jpg/320px-Giromeriou_monastery_1.jpg,320.0,240.0,['Monastery of Gyromeri'],39.64407264763161,20.272670314810025,10000
64871984,0,Q65231740,49,"[{'lat': 39.66694444, 'lon': 20.29305556, 'primary': True}]",,,,,39.64407264763161,20.272670314810025,10000
67008218,0,Q67402376,50,"[{'lat': 39.65215, 'lon': 20.15976, 'primary': True}]",,,,['Konispol border post'],39.64407264763161,20.272670314810025,10000
67008379,0,Q67402460,51,"[{'lat': 39.65181, 'lon': 20.15832, 'primary': True}]",,,,['Sagiada border post'],39.64407264763161,20.272670314810025,10000
100456153,0,Q105062938,52,"[{'lat': 39.70448611, 'lon': 20.26048611, 'primary': True}]",,,,['Janjar'],39.64407264763161,20.272670314810025,10000
103845919,0,Q108612377,53,"[{'lat': 39.614237, 'lon': 20.182322, 'primary': True}]",,,,['Tower of Agioleni'],39.64407264763161,20.272670314810025,10000
103846039,0,Q108612496,54,"[{'lat': 39.619863, 'lon': 20.258284, 'primary': True}]",,,,['Castle of Kasnetsi'],39.64407264763161,20.272670314810025,10000
105696147,0,Q110653478,55,"[{'lat': 39.66094, 'lon': 20.24322, 'primary': True}]",,,,['Ruins of Kotsika'],39.64407264763161,20.272670314810025,10000
109968681,0,Q115385599,56,"[{'lat': 39.612702, 'lon': 20.336135, 'primary': True}]",,,,"['Old oil press, Foiniki']",39.64407264763161,20.272670314810025,10000
109968850,0,Q115385791,57,"[{'lat': 39.645511, 'lon': 20.279135, 'primary': True}]",,,,"['Church of Profiti Ilia, Plaisio']",39.64407264763161,20.272670314810025,10000
110765064,0,Q116050992,58,"[{'lat': 39.60051, 'lon': 20.30749, 'primary': True}]",,,,"['Memorial of Filiates, Ipeirou']",39.64407264763161,20.272670314810025,10000
111747483,0,Q116954420,59,"[{'lat': 39.62567, 'lon': 20.18101, 'primary': True}]",,,,"['Bust of Grigorios Tsonkas, Sagiada']",39.64407264763161,20.272670314810025,10000
