pageid,ns,title,index,coordinates,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius
4906,0,Q3992,-1,"[{'lat': 50.688163, 'lon': 5.55034, 'primary': False}, {'lat': 50.561065, 'lon': 5.552741, 'primary': False}, {'lat': 50.66858, 'lon': 5.675139, 'primary': False}, {'lat': 50.649781, 'lon': 5.523046, 'primary': False}, {'lat': 50.63972222, 'lon': 5.57055556, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Liege_View_01.jpg/320px-Liege_View_01.jpg,320.0,213.0,['Liège'],50.716847144862456,5.518089113176313,5000
35349,0,Q32493,0,"[{'lat': 50.6757, 'lon': 5.546, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Battle_of_Roucoux_painting.jpg/320px-Battle_of_Roucoux_painting.jpg,320.0,193.0,['Battle of Rocoux'],50.716847144862456,5.518089113176313,5000
718114,0,Q764350,1,"[{'lat': 50.69465, 'lon': 5.52572, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Lantin_-_Fort_Lantin.jpg/320px-Lantin_-_Fort_Lantin.jpg,320.0,240.0,['Fort de Lantin'],50.716847144862456,5.518089113176313,5000
725825,0,Q772552,2,"[{'lat': 50.7286, 'lon': 5.525, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/%C3%89glise_de_Paifve.jpg/320px-%C3%89glise_de_Paifve.jpg,320.0,213.0,['Paifve'],50.716847144862456,5.518089113176313,5000
740144,0,Q787149,3,"[{'lat': 50.6823, 'lon': 5.49279, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chateau_Waroux.jpg/320px-Chateau_Waroux.jpg,320.0,230.0,['Waroux Castle'],50.716847144862456,5.518089113176313,5000
864570,0,Q914102,4,"[{'lat': 50.71666667, 'lon': 5.53333333, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Juprelle_-_Eglise_Saint-Barth%C3%A9l%C3%A9my.jpg/320px-Juprelle_-_Eglise_Saint-Barth%C3%A9l%C3%A9my.jpg,320.0,240.0,['Juprelle'],50.716847144862456,5.518089113176313,5000
1602340,0,Q1668787,5,"[{'lat': 50.72111111, 'lon': 5.46463889, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Monument_Bataille_oth%C3%A9e.jpg/320px-Monument_Bataille_oth%C3%A9e.jpg,320.0,261.0,['Battle of Othée'],50.716847144862456,5.518089113176313,5000
1772489,0,Q1841854,6,"[{'lat': 50.75348, 'lon': 5.53201, 'primary': True}]",,,,['Glons-Haut railway station'],50.716847144862456,5.518089113176313,5000
1801644,0,Q1871333,7,"[{'lat': 50.69967, 'lon': 5.58181, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Map_of_Liege_defences.svg/320px-Map_of_Liege_defences.svg.png,320.0,324.0,['Fort de Liers'],50.716847144862456,5.518089113176313,5000
1810493,0,Q1880287,8,"[{'lat': 50.69222, 'lon': 5.55306, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Belgian_Railway_Line_31.png/320px-Belgian_Railway_Line_31.png,320.0,239.0,['line 31 (Infrabel)'],50.716847144862456,5.518089113176313,5000
1843117,0,Q1913292,9,"[{'lat': 50.72329, 'lon': 5.45953, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Tumulus_othee_belgium.JPG/320px-Tumulus_othee_belgium.JPG,320.0,240.0,['Othée Tumulus'],50.716847144862456,5.518089113176313,5000
1892118,0,Q1962989,10,"[{'lat': 50.7042, 'lon': 5.4808, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Xhendremael_-_Eglise_Saint-Maurice.JPG/320px-Xhendremael_-_Eglise_Saint-Maurice.JPG,320.0,240.0,['Xhendremael'],50.716847144862456,5.518089113176313,5000
1950294,0,Q2022275,11,"[{'lat': 50.7456, 'lon': 5.4833, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Diets-Heur_-_Sint-Cunibertuskerk.jpg/320px-Diets-Heur_-_Sint-Cunibertuskerk.jpg,320.0,427.0,['Diets-Heur'],50.716847144862456,5.518089113176313,5000
1974498,0,Q2046899,12,"[{'lat': 50.74638889, 'lon': 5.55583333, 'primary': True}]",,,,['tunnel of Glons'],50.716847144862456,5.518089113176313,5000
1974873,0,Q2047279,13,"[{'lat': 50.7278, 'lon': 5.5633, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Slins_-_Eglise_Saint-Martin.jpg/320px-Slins_-_Eglise_Saint-Martin.jpg,320.0,427.0,['Slins'],50.716847144862456,5.518089113176313,5000
1993810,0,Q2066548,14,"[{'lat': 50.69833, 'lon': 5.56861, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/032_aangepast.jpg/320px-032_aangepast.jpg,320.0,240.0,['Liers railway station'],50.716847144862456,5.518089113176313,5000
