pageid,ns,title,index,coordinates,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius
218324,0,Q223608,-1,"[{'lat': 50.79722222, 'lon': 5.68083333, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Map_of_Liege_defences.svg/320px-Map_of_Liege_defences.svg.png,320.0,324.0,['Fortified Position of Liège'],50.780411024272375,5.618279579480479,5000
641469,0,Q680918,0,"[{'lat': 50.7586, 'lon': 5.6086, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Bassenge_%28Belgien%29_Saint-Pierre_196.JPG/320px-Bassenge_%28Belgien%29_Saint-Pierre_196.JPG,320.0,480.0,['Bassenge'],50.780411024272375,5.618279579480479,5000
671725,0,Q714288,1,"[{'lat': 50.79722222, 'lon': 5.68083333, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Eben-Emael.png/320px-Eben-Emael.png,320.0,323.0,['Battle of Fort Eben-Emael'],50.780411024272375,5.618279579480479,5000
692257,0,Q736097,2,"[{'lat': 50.8089, 'lon': 5.6019, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Riemst_-_Sint-Martinuskerk.jpg/320px-Riemst_-_Sint-Martinuskerk.jpg,320.0,240.0,['Riemst'],50.780411024272375,5.618279579480479,5000
897976,0,Q947912,3,"[{'lat': 50.797222, 'lon': 5.680833, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Eben-Emael-Fort_Eben-Emael_%283%29.jpg/320px-Eben-Emael-Fort_Eben-Emael_%283%29.jpg,320.0,180.0,['Fort Eben-Emael'],50.780411024272375,5.618279579480479,5000
1794874,0,Q1864519,4,"[{'lat': 50.7683, 'lon': 5.5553, 'primary': True}]",,,,,50.780411024272375,5.618279579480479,5000
1885059,0,Q1955795,5,"[{'lat': 50.783, 'lon': 5.617, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Roosburg.jpg/320px-Roosburg.jpg,320.0,240.0,,50.780411024272375,5.618279579480479,5000
1897994,0,Q1968974,6,"[{'lat': 50.808928, 'lon': 5.602267, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Riemst_-_Sint-Martinuskerk.jpg/320px-Riemst_-_Sint-Martinuskerk.jpg,320.0,240.0,"[""Saint Martin's Church (Riemst)""]",50.780411024272375,5.618279579480479,5000
1970322,0,Q2042642,7,"[{'lat': 50.7508, 'lon': 5.58, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Boirs_-_Eglise_Saint-Lambert.jpg/320px-Boirs_-_Eglise_Saint-Lambert.jpg,320.0,427.0,['Boirs'],50.780411024272375,5.618279579480479,5000
1996250,0,Q2069051,8,"[{'lat': 50.75609, 'lon': 5.61147, 'primary': True}]",,,,['Bassenge railway station'],50.780411024272375,5.618279579480479,5000
2025304,0,Q2098699,9,"[{'lat': 50.7569, 'lon': 5.5953, 'primary': True}]",,,,['Roclenge-sur-Geer'],50.780411024272375,5.618279579480479,5000
2064181,0,Q2138249,10,"[{'lat': 50.75077778, 'lon': 5.6705, 'primary': True}]",,,,['N602 road'],50.780411024272375,5.618279579480479,5000
2065498,0,Q2139595,11,"[{'lat': 50.78972, 'lon': 5.67556, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bassenge-Tumulus_van_Emael_%283%29.JPG/320px-Bassenge-Tumulus_van_Emael_%283%29.JPG,320.0,240.0,['Tumulus of Émael'],50.780411024272375,5.618279579480479,5000
