pageid,ns,title,index,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,imagerepository,imageinfo.thumburl,imageinfo.thumbwidth,imageinfo.thumbheight,imageinfo.responsiveUrls.1.5,imageinfo.responsiveUrls.2,imageinfo.url,imageinfo.descriptionurl,imageinfo.descriptionshorturl,coordinates.bearing,query_lat,query_lon,radius,query_id,country
113551,6,File:Butrint baptistery.jpg,-1,False,False,False,39.74556487,20.02282418,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
9510699,6,File:Athene noctua Macedonia.jpg,0,False,False,False,39.769755,20.00061,True,local,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Athene_noctua_Macedonia.jpg/320px-Athene_noctua_Macedonia.jpg,320.0,260.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Athene_noctua_Macedonia.jpg/479px-Athene_noctua_Macedonia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Athene_noctua_Macedonia.jpg/639px-Athene_noctua_Macedonia.jpg,https://upload.wikimedia.org/wikipedia/commons/d/dd/Athene_noctua_Macedonia.jpg,https://commons.wikimedia.org/wiki/File:Athene_noctua_Macedonia.jpg,https://commons.wikimedia.org/w/index.php?curid=9510699,,39.777899212125895,19.9711555691039,10000,2,AL
12158017,6,File:BresantKaja Ksamil Villiage Sarande AL.jpg,1,False,False,False,39.7679,19.997,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105209,6,File:Little owl - Flickr - ImogenX.jpg,2,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105211,6,File:Little owl - Flickr - ImogenX (1).jpg,3,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105213,6,File:Little owl and great tit - Flickr - ImogenX.jpg,4,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105216,6,File:Red-rumped swallow - Flickr - ImogenX.jpg,5,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105219,6,File:Ksamil - Flickr - ImogenX.jpg,6,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105228,6,File:Ksamil - Flickr - ImogenX (1).jpg,7,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105231,6,File:Ksamil - Flickr - ImogenX (2).jpg,8,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105233,6,File:Ksamil - Flickr - ImogenX (3).jpg,9,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105234,6,File:Ksamil - Flickr - ImogenX (4).jpg,10,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105241,6,File:Ksamil - Flickr - ImogenX (5).jpg,11,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105244,6,File:Ksamil - Flickr - ImogenX (6).jpg,12,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105247,6,File:Ksamil - Flickr - ImogenX (7).jpg,13,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105253,6,File:Ksamil - Flickr - ImogenX (8).jpg,14,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105258,6,File:Goldfinches - Flickr - ImogenX.jpg,15,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105260,6,File:Ksamil - Flickr - ImogenX (9).jpg,16,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105265,6,"File:Eastern Black-eared Wheatear, Albania.jpg",17,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105266,6,File:Lake Butrint - Flickr - ImogenX.jpg,18,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105269,6,File:Spotted flycatcher - Flickr - ImogenX.jpg,19,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
18105272,6,File:Ksamil - Flickr - ImogenX (10).jpg,20,False,False,False,39.769755,20.00061,True,,,,,,,,,,,39.777899212125895,19.9711555691039,10000,2,AL
