pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
123399857,6,"File:St. Mary's Monastery, Kakome 05.jpg",9,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/St._Mary%27s_Monastery%2C_Kakome_05.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_05.jpg', 'thumbwidth': 320, 'thumbheight': 392, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/St._Mary%27s_Monastery%2C_Kakome_05.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_05.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/St._Mary%27s_Monastery%2C_Kakome_05.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_05.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/8/86/St._Mary%27s_Monastery%2C_Kakome_05.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_05.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399857'}]",,,,,39.91140848168171,19.87143899561571,10000
123399858,6,"File:St. Mary's Monastery, Kakome 04.jpg",10,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/St._Mary%27s_Monastery%2C_Kakome_04.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_04.jpg', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/St._Mary%27s_Monastery%2C_Kakome_04.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_04.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/St._Mary%27s_Monastery%2C_Kakome_04.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_04.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/f/fb/St._Mary%27s_Monastery%2C_Kakome_04.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_04.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399858'}]",,,,,39.91140848168171,19.87143899561571,10000
123399863,6,"File:St. Mary's Monastery, Kakome 06.jpg",11,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/St._Mary%27s_Monastery%2C_Kakome_06.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_06.jpg', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/St._Mary%27s_Monastery%2C_Kakome_06.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_06.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/St._Mary%27s_Monastery%2C_Kakome_06.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_06.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/2/22/St._Mary%27s_Monastery%2C_Kakome_06.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_06.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399863'}]",,,,,39.91140848168171,19.87143899561571,10000
123399879,6,"File:St. Mary's Monastery, Kakome 08.jpg",12,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/St._Mary%27s_Monastery%2C_Kakome_08.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_08.jpg', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/St._Mary%27s_Monastery%2C_Kakome_08.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_08.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/St._Mary%27s_Monastery%2C_Kakome_08.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_08.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c3/St._Mary%27s_Monastery%2C_Kakome_08.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_08.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399879'}]",,,,,39.91140848168171,19.87143899561571,10000
123399880,6,"File:St. Mary's Monastery, Kakome 07.jpg",13,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/St._Mary%27s_Monastery%2C_Kakome_07.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_07.jpg', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/St._Mary%27s_Monastery%2C_Kakome_07.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_07.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/St._Mary%27s_Monastery%2C_Kakome_07.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_07.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/5/52/St._Mary%27s_Monastery%2C_Kakome_07.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_07.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399880'}]",,,,,39.91140848168171,19.87143899561571,10000
123399883,6,"File:St. Mary's Monastery, Kakome 09.jpg",14,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/St._Mary%27s_Monastery%2C_Kakome_09.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_09.jpg', 'thumbwidth': 320, 'thumbheight': 569, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/St._Mary%27s_Monastery%2C_Kakome_09.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_09.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/St._Mary%27s_Monastery%2C_Kakome_09.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_09.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/4/42/St._Mary%27s_Monastery%2C_Kakome_09.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_09.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399883'}]",,,,,39.91140848168171,19.87143899561571,10000
123399894,6,"File:St. Mary's Monastery, Kakome 11.jpg",15,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/St._Mary%27s_Monastery%2C_Kakome_11.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_11.jpg', 'thumbwidth': 320, 'thumbheight': 180, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/St._Mary%27s_Monastery%2C_Kakome_11.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_11.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/St._Mary%27s_Monastery%2C_Kakome_11.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_11.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/a/ac/St._Mary%27s_Monastery%2C_Kakome_11.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_11.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399894'}]",,,,,39.91140848168171,19.87143899561571,10000
123399895,6,"File:St. Mary's Monastery, Kakome 10.jpg",16,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/St._Mary%27s_Monastery%2C_Kakome_10.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_10.jpg', 'thumbwidth': 320, 'thumbheight': 569, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/St._Mary%27s_Monastery%2C_Kakome_10.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_10.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/St._Mary%27s_Monastery%2C_Kakome_10.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_10.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/6/6b/St._Mary%27s_Monastery%2C_Kakome_10.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_10.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399895'}]",,,,,39.91140848168171,19.87143899561571,10000
123399898,6,"File:St. Mary's Monastery, Kakome 12.jpg",17,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/St._Mary%27s_Monastery%2C_Kakome_12.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_12.jpg', 'thumbwidth': 320, 'thumbheight': 445, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/St._Mary%27s_Monastery%2C_Kakome_12.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_12.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/St._Mary%27s_Monastery%2C_Kakome_12.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_12.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/d/d9/St._Mary%27s_Monastery%2C_Kakome_12.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_12.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399898'}]",,,,,39.91140848168171,19.87143899561571,10000
123399911,6,"File:St. Mary's Monastery, Kakome 13.jpg",18,"[{'lat': 39.931, 'lon': 19.9499, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/St._Mary%27s_Monastery%2C_Kakome_13.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_13.jpg', 'thumbwidth': 320, 'thumbheight': 569, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/St._Mary%27s_Monastery%2C_Kakome_13.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_13.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/St._Mary%27s_Monastery%2C_Kakome_13.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_13.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/d/dd/St._Mary%27s_Monastery%2C_Kakome_13.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_13.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=123399911'}]",,,,,39.91140848168171,19.87143899561571,10000
